range_m,seed,path,analytical_delay_samples,measured_delay_samples,residual_samples,xcorr_peak
950.0,2,direct,0.000,0.000,0.000,1.0000
950.0,2,surface,3484.775,3493.000,8.225,0.8525
950.0,2,bottom,979.585,979.000,0.585,0.6901
900.0,2,direct,0.000,0.000,0.000,1.0000
900.0,2,surface,3675.520,3675.000,0.520,0.8610
900.0,2,bottom,1033.662,1033.000,0.662,0.7128
400.0,0,direct,0.000,0.000,0.000,1.0000
400.0,0,surface,8029.100,8029.000,0.100,0.8087
400.0,0,bottom,2295.704,2295.000,0.704,0.7008
700.0,2,direct,0.000,0.000,0.000,1.0000
700.0,2,surface,4702.537,4694.000,8.537,0.8458
700.0,2,bottom,1326.186,1326.000,0.186,0.7026
450.0,2,direct,0.000,0.000,0.000,1.0000
450.0,2,surface,7190.797,7182.000,8.797,0.8225
450.0,2,bottom,2047.500,2047.000,0.500,0.7021
250.0,1,direct,0.000,0.000,0.000,1.0000
250.0,1,surface,12198.873,12199.000,0.127,0.7515
250.0,1,bottom,3585.210,3585.000,0.210,0.6724
400.0,2,direct,0.000,0.000,0.000,1.0000
400.0,2,surface,8029.100,8037.000,7.900,0.8099
400.0,2,bottom,2295.704,2295.000,0.704,0.7010
750.0,1,direct,0.000,0.000,0.000,1.0000
750.0,1,surface,4396.036,4404.000,7.964,0.8495
750.0,1,bottom,1238.627,1238.000,0.627,0.7008
1000.0,1,direct,0.000,0.000,0.000,1.0000
1000.0,1,surface,3312.734,3321.000,8.266,0.8429
1000.0,1,bottom,930.871,931.000,0.129,0.6983
350.0,2,direct,0.000,0.000,0.000,1.0000
350.0,2,surface,9078.422,9078.000,0.422,0.8017
350.0,2,bottom,2610.943,2611.000,0.057,0.6868
550.0,2,direct,0.000,0.000,0.000,1.0000
550.0,2,surface,5939.887,5948.000,8.113,0.8272
550.0,2,bottom,1682.314,1682.000,0.314,0.6971
850.0,1,direct,0.000,0.000,0.000,1.0000
850.0,1,surface,3888.169,3897.000,8.831,0.8540
850.0,1,bottom,1094.036,1094.000,0.036,0.6960
1000.0,2,direct,0.000,0.000,0.000,1.0000
1000.0,2,surface,3312.734,3321.000,8.266,0.8453
1000.0,2,bottom,930.871,931.000,0.129,0.6985
850.0,2,direct,0.000,0.000,0.000,1.0000
850.0,2,surface,3888.169,3897.000,8.831,0.8568
850.0,2,bottom,1094.036,1094.000,0.036,0.6960
950.0,1,direct,0.000,0.000,0.000,1.0000
950.0,1,surface,3484.775,3493.000,8.225,0.8554
950.0,1,bottom,979.585,979.000,0.585,0.6899
600.0,0,direct,0.000,0.000,0.000,1.0000
600.0,0,surface,5462.038,5462.000,0.038,0.8289
600.0,0,bottom,1544.241,1544.000,0.241,0.6995
300.0,1,direct,0.000,0.000,0.000,1.0000
300.0,1,surface,10424.023,10424.000,0.023,0.7740
300.0,1,bottom,3023.690,3023.000,0.690,0.6778
800.0,1,direct,0.000,0.000,0.000,1.0000
800.0,1,surface,4126.684,4135.000,8.316,0.8414
800.0,1,bottom,1161.868,1162.000,0.132,0.7063
800.0,2,direct,0.000,0.000,0.000,1.0000
800.0,2,surface,4126.684,4135.000,8.316,0.8384
800.0,2,bottom,1161.868,1162.000,0.132,0.7070
850.0,0,direct,0.000,0.000,0.000,1.0000
850.0,0,surface,3888.169,3897.000,8.831,0.8564
850.0,0,bottom,1094.036,1094.000,0.036,0.6962
600.0,2,direct,0.000,0.000,0.000,1.0000
600.0,2,surface,5462.038,5470.000,7.962,0.8316
600.0,2,bottom,1544.241,1544.000,0.241,0.6992
400.0,1,direct,0.000,0.000,0.000,1.0000
400.0,1,surface,8029.100,8037.000,7.900,0.8119
400.0,1,bottom,2295.704,2295.000,0.704,0.7007
650.0,1,direct,0.000,0.000,0.000,1.0000
650.0,1,surface,5054.321,5046.000,8.321,0.8317
650.0,1,bottom,1426.983,1427.000,0.017,0.6992
550.0,0,direct,0.000,0.000,0.000,1.0000
550.0,0,surface,5939.887,5948.000,8.113,0.8282
550.0,0,bottom,1682.314,1682.000,0.314,0.6966
200.0,2,direct,0.000,0.000,0.000,1.0000
200.0,2,surface,14614.906,14615.000,0.094,0.7097
200.0,2,bottom,4387.280,4387.000,0.280,0.6749
500.0,0,direct,0.000,0.000,0.000,1.0000
500.0,0,surface,6507.181,6499.000,8.181,0.8145
500.0,0,bottom,1847.217,1847.000,0.217,0.6891
500.0,2,direct,0.000,0.000,0.000,1.0000
